# QBopomofo: Taiwan political figure names
#
# Sources:
# - Legislative Yuan Open Data Platform, dataset 16: 歷屆委員資料, term=11
#   https://data.ly.gov.tw/getds.action?id=16
#   License: Government Open Data License, version 1.0
# - QBopomofo manually curated high-profile Taiwan political figure seed list
#
# Generated by data-provider/tools/generate_tw_politicians.py
# Entries: 171

游錫堃,1000,ㄧㄡˊ ㄒㄧˊ ㄎㄨㄣ
游顥,1000,ㄧㄡˊ ㄏㄠˋ
潘孟安,1000,ㄆㄢ ㄇㄥˋ ㄢ
牛煦庭,1000,ㄋㄧㄡˊ ㄒㄩˇ ㄊㄧㄥˊ
王世堅,1000,ㄨㄤˊ ㄕˋ ㄐㄧㄢ
王安祥,1000,ㄨㄤˊ ㄢ ㄒㄧㄤˊ
王定宇,1000,ㄨㄤˊ ㄉㄧㄥˋ ㄩˇ
王忠銘,1000,ㄨㄤˊ ㄓㄨㄥ ㄇㄧㄥˊ
王惠美,1000,ㄨㄤˊ ㄏㄨㄟˋ ㄇㄟˇ
王正旭,1000,ㄨㄤˊ ㄓㄥˋ ㄒㄩˋ
王美惠,1000,ㄨㄤˊ ㄇㄟˇ ㄏㄨㄟˋ
王義川,1000,ㄨㄤˊ ㄧˋ ㄔㄨㄢ
王育敏,1000,ㄨㄤˊ ㄩˋ ㄇㄧㄣˇ
王金平,1000,ㄨㄤˊ ㄐㄧㄣ ㄆㄧㄥˊ
王鴻薇,1000,ㄨㄤˊ ㄏㄨㄥˊ ㄨㄟ
盧秀燕,1000,ㄌㄨˊ ㄒㄧㄡˋ ㄧㄢˋ
盧縣一,1000,ㄌㄨˊ ㄒㄧㄢˋ ㄧ
羅廷瑋,1000,ㄌㄨㄛˊ ㄊㄧㄥˊ ㄨㄟˇ
羅文嘉,1000,ㄌㄨㄛˊ ㄨㄣˊ ㄐㄧㄚ
羅明才,1000,ㄌㄨㄛˊ ㄇㄧㄥˊ ㄘㄞˊ
羅智強,1000,ㄌㄨㄛˊ ㄓˋ ㄑㄧㄤˊ
羅美玲,1000,ㄌㄨㄛˊ ㄇㄟˇ ㄌㄧㄥˊ
翁曉玲,1000,ㄨㄥ ㄒㄧㄠˇ ㄌㄧㄥˊ
翁章梁,1000,ㄨㄥ ㄓㄤ ㄌㄧㄤˊ
苗博雅,1000,ㄇㄧㄠˊ ㄅㄛˊ ㄧㄚˇ
范雲,1000,ㄈㄢˋ ㄩㄣˊ
莊瑞雄,1000,ㄓㄨㄤ ㄖㄨㄟˋ ㄒㄩㄥˊ
萬美玲,1000,ㄨㄢˋ ㄇㄟˇ ㄌㄧㄥˊ
葉元之,1000,ㄧㄝˋ ㄩㄢˊ ㄓ
葛如鈞,1000,ㄍㄜˇ ㄖㄨˊ ㄐㄩㄣ
蔡其昌,1000,ㄘㄞˋ ㄑㄧˊ ㄔㄤ
蔡易餘,1000,ㄘㄞˋ ㄧˋ ㄩˊ
蔡春綢,1000,ㄘㄞˋ ㄔㄨㄣ ㄔㄡˊ
蔡英文,1000,ㄘㄞˋ ㄧㄥ ㄨㄣˊ
蔣萬安,1000,ㄐㄧㄤˇ ㄨㄢˋ ㄢ
蕭美琴,1000,ㄒㄧㄠ ㄇㄟˇ ㄑㄧㄣˊ
蘇巧慧,1000,ㄙㄨ ㄑㄧㄠˇ ㄏㄨㄟˋ
蘇清泉,1000,ㄙㄨ ㄑㄧㄥ ㄑㄩㄢˊ
蘇煥智,1000,ㄙㄨ ㄏㄨㄢˋ ㄓˋ
蘇貞昌,1000,ㄙㄨ ㄓㄣ ㄔㄤ
許宇甄,1000,ㄒㄩˇ ㄩˇ ㄓㄣ
許忠信,1000,ㄒㄩˇ ㄓㄨㄥ ㄒㄧㄣˋ
許智傑,1000,ㄒㄩˇ ㄓˋ ㄐㄧㄝˊ
許淑華,1000,ㄒㄩˇ ㄕㄨˊ ㄏㄨㄚˊ
謝國樑,1000,ㄒㄧㄝ˙ ㄍㄨㄛˊ ㄌㄧㄤˊ
謝衣鳯,1000,ㄒㄧㄝ˙ ㄧ ㄈㄥˋ
謝長廷,1000,ㄒㄧㄝ˙ ㄔㄤˊ ㄊㄧㄥˊ
謝龍介,1000,ㄒㄧㄝ˙ ㄌㄨㄥˊ ㄐㄧㄝˋ
賴士葆,1000,ㄌㄞˋ ㄕˋ ㄅㄠˇ
賴惠員,1000,ㄌㄞˋ ㄏㄨㄟˋ ㄩㄢˊ
賴清德,1000,ㄌㄞˋ ㄑㄧㄥ ㄉㄜˊ
賴瑞隆,1000,ㄌㄞˋ ㄖㄨㄟˋ ㄌㄨㄥˊ
邱志偉,1000,ㄑㄧㄡ ㄓˋ ㄨㄟˇ
邱慧洳,1000,ㄑㄧㄡ ㄏㄨㄟˋ ㄖㄨˋ
邱臣遠,1000,ㄑㄧㄡ ㄔㄣˊ ㄩㄢˇ
邱若華,1000,ㄑㄧㄡ ㄖㄨㄛˋ ㄏㄨㄚˊ
邱議瑩,1000,ㄑㄧㄡ ㄧˋ ㄧㄥˊ
邱鎮軍,1000,ㄑㄧㄡ ㄓㄣˋ ㄐㄩㄣ
郝龍斌,1000,ㄏㄜˋ ㄌㄨㄥˊ ㄅㄧㄣ
郭國文,1000,ㄍㄨㄛ ㄍㄨㄛˊ ㄨㄣˊ
郭昱晴,1000,ㄍㄨㄛ ㄩˋ ㄑㄧㄥˊ
鄭天財,1000,ㄓㄥˋ ㄊㄧㄢ ㄘㄞˊ
鄭文燦,1000,ㄓㄥˋ ㄨㄣˊ ㄘㄢˋ
鄭正鈐,1000,ㄓㄥˋ ㄓㄥˋ ㄑㄧㄢˊ
鄭麗君,1000,ㄓㄥˋ ㄌㄧˋ ㄐㄩㄣ
鍾佳濱,1000,ㄓㄨㄥ ㄐㄧㄚ ㄅㄧㄣ
鍾小平,1000,ㄓㄨㄥ ㄒㄧㄠˇ ㄆㄧㄥˊ
鍾東錦,1000,ㄓㄨㄥ ㄉㄨㄥ ㄐㄧㄣˇ
陳亭妃,1000,ㄔㄣˊ ㄊㄧㄥˊ ㄈㄟ
陳俊宇,1000,ㄔㄣˊ ㄐㄩㄣˋ ㄩˇ
陳光復,1000,ㄔㄣˊ ㄍㄨㄤ ㄈㄨˋ
陳其邁,1000,ㄔㄣˊ ㄑㄧˊ ㄇㄞˋ
陳冠廷,1000,ㄔㄣˊ ㄍㄨㄢˋ ㄊㄧㄥˊ
陳培瑜,1000,ㄔㄣˊ ㄆㄟˊ ㄩˊ
陳建仁,1000,ㄔㄣˊ ㄐㄧㄢˋ ㄖㄣˊ
陳昭姿,1000,ㄔㄣˊ ㄓㄠ ㄗ
陳時中,1000,ㄔㄣˊ ㄕˊ ㄓㄨㄥ
陳柏惟,1000,ㄔㄣˊ ㄅㄛˊ ㄨㄟˊ
陳水扁,1000,ㄔㄣˊ ㄕㄨㄟˇ ㄅㄧㄢˇ
陳永康,1000,ㄔㄣˊ ㄩㄥˇ ㄎㄤ
陳清龍,1000,ㄔㄣˊ ㄑㄧㄥ ㄌㄨㄥˊ
陳玉珍,1000,ㄔㄣˊ ㄩˋ ㄓㄣ
陳瑩,1000,ㄔㄣˊ ㄧㄥˊ
陳福海,1000,ㄔㄣˊ ㄈㄨˊ ㄏㄞˇ
陳秀寳,1000,ㄔㄣˊ ㄒㄧㄡˋ ㄅㄠˇ
陳素月,1000,ㄔㄣˊ ㄙㄨˋ ㄩㄝˋ
陳菁徽,1000,ㄔㄣˊ ㄐㄧㄥ ㄏㄨㄟ
陳菊,1000,ㄔㄣˊ ㄐㄩˊ
陳超明,1000,ㄔㄣˊ ㄔㄠ ㄇㄧㄥˊ
陳雪生,1000,ㄔㄣˊ ㄒㄩㄝˇ ㄕㄥ
韓國瑜,1000,ㄏㄢˊ ㄍㄨㄛˊ ㄩˊ
顏寬恒,1000,ㄧㄢˊ ㄎㄨㄢ ㄏㄥˊ
顧立雄,1000,ㄍㄨˋ ㄌㄧˋ ㄒㄩㄥˊ
饒慶鈴,1000,ㄖㄠˊ ㄑㄧㄥˋ ㄌㄧㄥˊ
馬文君,1000,ㄇㄚˇ ㄨㄣˊ ㄐㄩㄣ
